"question","option_a","option_b","option_c","option_d","correct_answer"
"ಜಂಬಣ್ಣ ಅಮರಚಿಂತ ಅವರು ______ ರಲ್ಲಿ ಜನಿಸಿದರು.","೧೯೪೫","೧೯೫೦","೧೯೬೦","೧೯೭೦","A"
"'ಮುಂಜಾವಿನ ಕೊರಳು' ಇವರ ______ ಕವನ ಸಂಕಲನ.","ಮೊದಲ","ಎರಡನೆಯ","ಮೂರನೆಯ","ನಾಲ್ಕನೆಯ","A"
"ಗಾಳಿಪಟಗಳ ಬಾಲಂಗೋಚಿ ಹರಿದರೆ ______ ಹೊಡೆಯುವವು.","ಗಿರಕಿ","ಲಾಗ","ಓಟ","ನೆಗೆತ","A"
"ಕವಿ ______ ಹಾಡಿಗೆ ತಲೆದೂಗುವ ಹೂ ಆಗಲು ಆಸೆ ಪಡುತ್ತಾರೆ.","ಹಕ್ಕಿಯ","ಮನುಷ್ಯನ","ನಾಯಿಯ","ಬೆಕ್ಕಿನ","A"
"ಕವಿ ______ ನೀರಲಿ ಬಳುಕುವ ಮೀನಾಗಲು ಆಸೆ ಪಡುತ್ತಾರೆ.","ಕಡಲಿನ ನೀಲಿಯ","ನದಿಯ","ಕೆರೆಯ","ಬಾವಿಯ","A"
"ನಭ ಎಂದರೆ ______.","ಆಕಾಶ","ಭೂಮಿ","ನೀರು","ಬೆಂಕಿ","A"
"ಅನುರಾಗ ಎಂದರೆ ______.","ಪ್ರೀತಿ","ದ್ವೇಷ","ಕೋಪ","ಭಯ","A"
"ಊಟೆ ಎಂದರೆ ______.","ನೀರಿನ ಚಿಲುಮೆ","ಬೆಂಕಿ","ಗಾಳಿ","ಮಣ್ಣು","A"
"ಮಾತೆ ಎಂದರೆ ______.","ತಾಯಿ","ತಂದೆ","ಅಕ್ಕ","ಅಣ್ಣ","A"
"ಹರಸು ಎಂದರೆ ______.","ಆಶೀರ್ವದಿಸು","ಶಾಪ ಕೊಡು","ಬೈಯು","ಹೊಡೆ","A"
"ಏಕಾಗ್ರತೆ ಎಂದರೆ ______.","ತದೇಕಚಿತ್ತತೆ","ಸೋಮಾರಿತನ","ಮರೆವು","ನಿದ್ರೆ","A"
"ಕುತೂಹಲ ಎಂದರೆ ______.","ತಿಳಿದುಕೊಳ್ಳುವ ಆಸಕ್ತಿ","ಭಯ","ಕೋಪ","ದುಃಖ","A"
"ಮಾಲಿ ಎಂದರೆ ______.","ತೋಟ ಕಾಯುವವನು","ಅಡುಗೆಯವನು","ಚಾಲಕ","ಶಿಕ್ಷಕ","A"
"ದೌರ್ಬಲ್ಯ ಎಂದರೆ ______.","ಬಲಹೀನತೆ","ಶಕ್ತಿ","ಧೈರ್ಯ","ಸಾಹಸ","A"
"ಸ್ವಾಮಿ ವಿವೇಕಾನಂದರು '______ ಜೀವನ; ದೌರ್ಬಲ್ಯವೇ ಮರಣ' ಎಂದರು.","ಶಕ್ತಿಯೇ","ಹಣವೇ","ಆಹಾರವೇ","ನಿದ್ರೆಯೇ","A"
"ಜೇಡರಹುಳು ______ ನಿರ್ಮಿಸುತ್ತದೆ.","ಬಲೆ","ಮನೆ","ಗೂಡು","ಬಿಲ","A"
"ರಾಜ ಯುದ್ಧದಲ್ಲಿ ______ ಸೋತುಹೋದ.","ಹಲವು ಬಾರಿ","ಒಂದು ಬಾರಿ","ಎರಡು ಬಾರಿ","ಮೂರು ಬಾರಿ","A"
"ಗಾದೆ: ಸಾಧಿಸಿದರೆ ______ ನುಂಗಬಹುದು.","ಸಬಳ","ಕಲ್ಲು","ಮರ","ಕಬ್ಬಿಣ","A"
"ವಿವೇಕಾನಂದರು ______ ಶಿಷ್ಯರಾದರು.","ರಾಮಕೃಷ್ಣ ಪರಮಹಂಸರ","ಗಾಂಧೀಜಿಯ","ನೆಹರೂರ","ಟ್ಯಾಗೋರ್‌ರ","A"
"ಕವಿ ______ ಅಂಜದೆ ಮುನ್ನಡೆಯ ಬಯಸುತ್ತಾರೆ.","ಬಿರುಮಳೆಗೆ","ಬಿಸಿಲಿಗೆ","ಚಳಿಗೆ","ಗಾಳಿಗೆ","A"
"हमारे पूर्वज ______ के किनारे बसे हुए थे।","नदियों","पहाड़ों","समुद्र","जंगल","A"
"नाव बनाने का विचार ______ से आया।","टहनी तैरने","पत्थर गिरने","पक्षी उड़ने","मछली तैरने","A"
"रबड़ के पेड़ मुख्य रूप से ______ में पाए जाते हैं।","दक्षिण भारत","उत्तर भारत","पश्चिम भारत","मध्य भारत","A"
"रबड़ पेड़ के ______ से बनता है।","रस","पत्ते","फूल","फल","A"
"डॉक्टर सुरक्षित रहने के लिए रबड़ के ______ पहनते हैं।","दस्ताने","जूते","टोपी","चश्मा","A"
"घर में ______ पकड़म-पकड़ी खेल रहे हैं।","चूहे","बिल्ली","कुत्ता","तोता","A"
"छिपकली घर में ______ लगाती है।","गश्त","नृत्य","गाना","खाना","A"
"चींटियाँ ______ बाँधकर चलती हैं।","कतार","घर","पुल","दीवार","A"
"बशीर के हाथ में ______ की आकृति वाला रबड़ था।","जोकर","शेर","हाथी","खरगोश","A"
"एक पेड़ से लगभग ______ लीटर दूध निकलता है।","तीन","एक","दस","बीस","A"
"रबड़ से ______ और बरसाती बनाए जाते हैं।","जूते-चप्पल","कपड़े","खाना","किताब","A"
"'वसुधैव कुटुंबकम्' का अर्थ है पूरी ______ एक परिवार है।","पृथ्वी","गली","शहर","देश","A"
"कविता में पंछी ______ की तरह झगड़ रहे हैं।","दीदी और मुझ","माँ और पिता","भाई और बहन","दोस्त","A"
"टहनी पानी में ______ नहीं बल्कि तैरने लगी।","डूबी","उछली","टूटी","बहकर गई","A"
"पानी का डर समाप्त होने पर मनुष्य ने ______ पर विजय प्राप्त की।","सागर","पहाड़","जंगल","आकाश","A"
"प्लास्टिक रबड़ का ______ रूप है।","बनावटी","प्राकृतिक","असली","शुद्ध","A"
"रबड़ के दूध को उबालकर ______ में बदला जाता है।","चादरों","गेंद","जूते","खिलौने","A"
"कविता 'घर प्यारा' में घर को ______ का घर कहा गया है।","सबका","केवल हमारा","पड़ोसी का","जानवरों का","A"
"'आपे में न रहना' मुहावरे का अर्थ है ______ खुश होना।","अत्यधिक","थोड़ा","कम","बिलकुल नहीं","A"
"हमारे पूर्वज ______, मूल और फल खाते थे।","कंद","रोटी","चावल","दाल","A"
"कवि ने नाव की खोज को मनुष्य की ______ जीत कहा।","भारी","छोटी","साधारण","कमजोर","A"
"मच्छर घर में ______ रहे हैं।","टहल","सो","खा","पढ़","A"
"काकरोच घर में ______ रहते हैं।","दिन-रात","केवल दिन","केवल रात","कभी-कभी","A"
"बालक माँ को समझा रहा है कि घर ______ का है।","सबका","केवल उनका","पड़ोसी का","जानवरों का","A"
"नदियों का ______ पानी पूर्वज पीते थे।","निर्मल","गंदा","खारा","गर्म","A"
"पीपल और ताड़ की ______ पानी में तैरती हैं।","शाखाएँ","जड़ें","फल","फूल","A"
"रबड़ का दूध ______ जैसा दिखता है।","सफेद","लाल","हरा","पीला","A"
"What is 25 in Kannada?","ಇಪ್ಪತ್ತೈದು","ಮೂವತ್ತು","ಹತ್ತು","ಐವತ್ತು","A"
"What is 17 in Hindi?","सत्रह","सोलह","अठारह","उन्नीस","A"
"What is ೩೨ (32) in English?","Thirty-two","Twenty-two","Forty-two","Fifty-two","A"
"What is तैंतीस (33) in English?","Thirty-three","Twenty-three","Forty-three","Thirteen","A"
"What is 45 in Kannada?","ನಲವತ್ತೈದು","ಐವತ್ತೈದು","ಮೂವತ್ತೈದು","ಅರವತ್ತೈದು","A"
"What is 56 in Hindi?","छप्पन","सत्तावन","पचपन","अट्ठावन","A"
"What is ೬೮ (68) in English?","Sixty-eight","Seventy-eight","Fifty-eight","Eighty-eight","A"
"What is इक्यासी (81) in English?","Eighty-one","Seventy-one","Ninety-one","Sixty-one","A"
"What is 12 in Kannada?","ಹನ್ನೆರಡು","ಹತ್ತು","ಹದಿನೈದು","ಇಪ್ಪತ್ತು","A"
"What is 29 in Hindi?","उनतीस","अट्ठाईस","तीस","इकतीस","A"
"What is ೭೪ (74) in English?","Seventy-four","Sixty-four","Eighty-four","Fifty-four","A"
"What is चौरासी (84) in English?","Eighty-four","Seventy-four","Ninety-four","Sixty-four","A"
"What is 91 in Kannada?","ತೊಂಬತ್ತೊಂದು","ಎಂಬತ್ತೊಂದು","ನೂರು","ಅರವತ್ತೊಂದು","A"
"What is 48 in Hindi?","अड़तालीस","सैंतालीस","उनचास","पचास","A"
"What is ೫೩ (53) in English?","Fifty-three","Forty-three","Sixty-three","Thirty-three","A"
"What is सड़सठ (67) in English?","Sixty-seven","Fifty-seven","Seventy-seven","Forty-seven","A"
"What is 19 in Kannada?","ಹತ್ತೊಂಬತ್ತು","ಹದಿನೆಂಟು","ಇಪ್ಪತ್ತು","ಹದಿನೈದು","A"
"What is 36 in Hindi?","छत्तीस","पैंतीस","सैंतीस","चौंतीस","A"
"What is ೮೭ (87) in English?","Eighty-seven","Seventy-seven","Ninety-seven","Sixty-seven","A"
"What is बहत्तर (72) in English?","Seventy-two","Sixty-two","Eighty-two","Fifty-two","A"
"What is 63 in Kannada?","ಅರವತ್ತಮೂರು","ಐವತ್ತಮೂರು","ಎಪ್ಪತ್ತಮೂರು","ನಲವತ್ತಮೂರು","A"
"What is 94 in Hindi?","चौरानवे","तिरानवे","पचानवे","छियानवे","A"
"What is ೪೧ (41) in English?","Forty-one","Thirty-one","Fifty-one","Twenty-one","A"
"What is पैंसठ (65) in English?","Sixty-five","Fifty-five","Seventy-five","Forty-five","A"
"What is 78 in Kannada?","ಎಪ್ಪತ್ತೆಂಟು","ಅರವತ್ತೆಂಟು","ಎಂಬತ್ತೆಂಟು","ತೊಂಬತ್ತೆಂಟು","A"
"What is 55 in Hindi?","पचपन","चौवन","छप्पन","सत्तावन","A"
"What is ೨೬ (26) in English?","Twenty-six","Thirty-six","Sixteen","Forty-six","A"
"What is निन्यानवे (99) in English?","Ninety-nine","Eighty-nine","Seventy-nine","Sixty-nine","A"
"What is 37 in Kannada?","ಮೂವತ್ತೇಳು","ಇಪ್ಪತ್ತೇಳು","ನಲವತ್ತೇಳು","ಐವತ್ತೇಳು","A"
"What is 82 in Hindi?","बयासी","इक्यासी","तिरासी","चौरासी","A"
"'ಒಲುಮೆ' ಪದದ ಅರ್ಥ ಏನು?","ಪ್ರೀತಿ","ದ್ವೇಷ","ಕೋಪ","ಭಯ","A"
"'ದಿಕ್ಸೂಚಿ' ಎಂದರೆ ಏನು?","ದಿಕ್ಕನ್ನು ತಿಳಿಸುವ ಯಂತ್ರ","ಸಮಯ ತಿಳಿಸುವ ಯಂತ್ರ","ಉಷ್ಣತೆ ತಿಳಿಸುವ ಯಂತ್ರ","ಭಾರ ತಿಳಿಸುವ ಯಂತ್ರ","A"
"'ಸಿರಿ' ಪದದ ಅರ್ಥ ಏನು?","ಸಂಪತ್ತು","ಬಡತನ","ದುಃಖ","ರೋಗ","A"
"'ನೆಗೆ' ಪದದ ಅರ್ಥ ಏನು?","ಹಾರು","ನಡೆ","ಓಡು","ನಿಲ್ಲು","A"
"'ಗುಟುಕು' ಎಂದರೆ ಏನು?","ಒಂದು ಸಲ ನುಂಗುವಷ್ಟು","ಹೆಚ್ಚು","ಕಡಿಮೆ","ಏನೂ ಇಲ್ಲ","A"
"'जगदोडेय' का अर्थ क्या है?","परमात्मा","राजा","मंत्री","सैनिक","A"
"'पुरखे' शब्द का अर्थ क्या है?","पूर्वज","वंशज","बच्चे","दोस्त","A"
"'अठखेली' शब्द का अर्थ क्या है?","खेल करती हुई","रोती हुई","सोती हुई","खाती हुई","A"
"'अचंभा' शब्द का अर्थ क्या है?","हैरानी","खुशी","दुख","गुस्सा","A"
"'निर्मल' शब्द का अर्थ क्या है?","साफ़","गंदा","काला","लाल","A"
"ಕನ್ನಡದಲ್ಲಿ 'ರಾಗ' ಪದಕ್ಕೆ ವಿರುದ್ಧಾರ್ಥಕ ಪದ ಏನು?","ವಿರಾಗ","ಅನುರಾಗ","ಪ್ರೇಮ","ಪ್ರೀತಿ","A"
"'ತಂಟೆ' ಪದದ ಅರ್ಥ ಏನು?","ಉಪದ್ರವ","ಸಹಾಯ","ಪ್ರೀತಿ","ಗೌರವ","A"
"'ಬೆರಗು' ಪದದ ಅರ್ಥ ಏನು?","ಆಶ್ಚರ್ಯ","ದುಃಖ","ಸಂತೋಷ","ಕೋಪ","A"
"'ಚಿಂತನೆ' ಪದದ ಅರ್ಥ ಏನು?","ಯೋಚನೆ","ನಿದ್ರೆ","ಊಟ","ಆಟ","A"
"'ಅರಿ' ಪದದ ಅರ್ಥ ಏನು?","ತಿಳಿ","ಮರೆ","ಓಡು","ನಿಲ್ಲು","A"
"'सुरक्षित' शब्द का अर्थ क्या है?","Safe","Dangerous","Weak","Slow","A"
"'प्रयोग' शब्द का अर्थ क्या है?","Use","Waste","Throw","Break","A"
"'आकृति' शब्द का अर्थ क्या है?","Shape","Color","Size","Weight","A"
"'अशुद्ध' शब्द का अर्थ क्या है?","Wrong","Right","Good","Best","A"
"'देन' शब्द का अर्थ क्या है?","Gift","Take","Steal","Buy","A"
"ಕನ್ನಡ ವರ್ಣಮಾಲೆಯಲ್ಲಿ ಎಷ್ಟು ಸ್ವರಗಳಿವೆ?","೧೩","೧೦","೧೫","೨೦","A"
"'ಕೆಂಡ' ಪದದ ಅರ್ಥ ಏನು?","ಉರಿಯುತ್ತಿರುವ ಇದ್ದಿಲು","ತಣ್ಣಗಿನ ಇದ್ದಿಲು","ನೀರು","ಮಣ್ಣು","A"
"'गुंग' का अर्थ क्या है?","तल्लीनता","जागना","सोना","खाना","A"
"'ಪರಿವೆ' ಪದದ ಅರ್ಥ ಏನು?","ಅರಿವು","ಮರೆವು","ನಿದ್ರೆ","ಕನಸು","A"
"'उपाय' का अर्थ क्या है?","युक्ति","समस्या","कठिनाई","असफलता","A"
"What is the LCM of 12 and 18?","36","54","72","108","A"
"What is the HCF of 24 and 36?","6","12","18","24","B"
"What is 15% of 200?","20","30","40","50","B"
"What is the value of 2³?","6","8","9","12","B"
"What is the square root of 144?","10","11","12","13","C"
"What is 3/4 + 1/2?","1/4","5/4","7/4","1","B"
"What is the area of a circle with radius 7 cm? (π = 22/7)","154 cm²","140 cm²","196 cm²","308 cm²","A"
"What is the perimeter of a rectangle with length 12 cm and breadth 8 cm?","20 cm","32 cm","40 cm","96 cm","C"
"What is 25% of 80?","15","20","25","30","B"
"What is the value of (-5) + 8?","3","-3","13","-13","A"
"What is 7/8 - 3/8?","1/2","1/4","3/8","4/8","A"
"What is the product of 15 and 12?","150","165","180","195","C"
"What is 450 ÷ 15?","25","30","35","40","B"
"What is the value of 5² - 3²?","8","16","32","64","B"
"What is the cube of 4?","12","16","48","64","D"
"What is 2/5 of 100?","20","30","40","50","C"
"What is the sum of angles in a quadrilateral?","180°","270°","360°","450°","C"
"What is the value of 10 - (-3)?","7","-7","13","-13","C"
"What is 0.25 as a fraction in simplest form?","1/2","1/3","1/4","2/5","C"
"What is the circumference of a circle with diameter 14 cm? (π = 22/7)","22 cm","44 cm","88 cm","154 cm","B"
"What is 3.5 × 4?","12","14","15","16","B"
"What is the prime factorization of 36?","2² × 3²","2³ × 3","2 × 3³","2² × 3³","A"
"What is the reciprocal of 5/8?","5/8","8/5","3/8","8/3","B"
"What is 40% of 150?","50","60","70","80","B"
"What is the value of (-8) × (-4)?","32","-32","12","-12","A"
"What is the area of a triangle with base 10 cm and height 6 cm?","30 cm²","60 cm²","16 cm²","20 cm²","A"
"What is the median of 3, 7, 5, 9, 11?","5","7","9","11","B"
"What is 125 ÷ 5?","20","25","30","35","B"
"What is the sum of first 10 natural numbers?","45","50","55","60","C"
"What is the value of 6³?","36","108","180","216","D"
"What is 5/6 × 3/5?","1/2","1/3","5/6","3/6","A"
"What is the volume of a cube with side 5 cm?","25 cm³","50 cm³","75 cm³","125 cm³","D"
"What is 72% as a decimal?","0.72","7.2","72","0.072","A"
"What is the range of the data: 12, 15, 8, 20, 14?","4","8","12","20","C"
"What is (-15) ÷ 3?","5","-5","45","-45","B"
"What is the place value of 7 in 567,890?","7 thousand","7 hundred","70 thousand","7 ten thousand","A"
"What is 4.8 + 2.7?","6.5","7.5","8.5","9.5","B"
"What is the LCM of 8, 12, and 16?","24","32","48","96","C"
"What is 3/5 as a percentage?","30%","40%","50%","60%","D"
"What is the value of |−12|?","12","-12","0","24","A"
"What is the area of a square with side 9 cm?","18 cm²","36 cm²","81 cm²","90 cm²","C"
"What is 0.6 ÷ 0.3?","0.2","2","0.02","20","B"
"What is the HCF of 45 and 60?","5","10","15","20","C"
"What is the value of 2⁴?","8","12","16","20","C"
"What is 7/12 + 5/12?","1","12/12","2/12","7/12","A"
"What is the perimeter of an equilateral triangle with side 8 cm?","16 cm","20 cm","24 cm","32 cm","C"
"What is 80% of 250?","150","180","200","220","C"
"What is the mode of 4, 7, 4, 9, 4, 11?","4","7","9","11","A"
"What is the value of (-6) - 4?","-10","10","-2","2","A"
"What is 16/24 in simplest form?","2/3","1/2","4/6","8/12","A"
"What is the diagonal of a square with side 10 cm? (approx)","10 cm","14.14 cm","20 cm","100 cm","B"
"What is 5.5 - 2.8?","2.3","2.7","3.3","3.7","B"
"What is the number of prime numbers between 1 and 20?","7","8","9","10","B"
"What is 5/8 ÷ 2/3?","15/16","10/24","5/12","10/16","A"
"What is the value of 7 × (5 + 3)?","35","56","70","84","B"
"What is the surface area of a cube with side 4 cm?","64 cm²","96 cm²","48 cm²","16 cm²","B"
"What is 0.125 as a fraction?","1/4","1/6","1/8","1/10","C"
"What is the average of 20, 30, 40, 50?","30","35","40","45","B"
"What is (-7) × 9?","-63","63","-16","16","A"
"What is the area of a parallelogram with base 12 cm and height 5 cm?","17 cm²","60 cm²","34 cm²","25 cm²","B"
"What is 150% of 60?","75","90","120","150","B"
"What is the value of √256?","14","15","16","17","C"
"What is 11/15 - 2/15?","9/15","13/15","3/5","9/30","C"
"What is the volume of a cuboid with length 6 cm, breadth 4 cm, height 3 cm?","72 cm³","60 cm³","48 cm³","36 cm³","A"
"What is 2.5 × 1.2?","2.5","3","3.5","4","B"
"What is the sum of interior angles of a pentagon?","360°","450°","540°","720°","C"
"What is the value of 9² - 8²?","1","17","72","145","B"
"What is 7/9 × 3/7?","1/3","21/63","3/9","7/27","A"
"What is the ratio of 25 to 100 in simplest form?","1:2","1:3","1:4","1:5","C"
"What is 36% as a fraction in simplest form?","9/25","18/50","36/100","6/25","A"
"What is the value of (−5)²?","25","-25","10","-10","A"
"What is the perimeter of a square with area 64 cm²?","16 cm","24 cm","32 cm","64 cm","C"
"What is 7.2 ÷ 0.9?","0.8","8","80","0.08","B"
"What is the LCM of 15 and 25?","50","75","100","125","B"
"What is 2/3 of 60?","20","30","40","50","C"
"What is the value of 10³ ÷ 10²?","1","10","100","1000","B"
"What is 5/12 + 7/12?","1","12/12","2/12","12/24","A"
"What is the area of a trapezium with parallel sides 8 cm and 6 cm, and height 5 cm?","35 cm²","40 cm²","45 cm²","70 cm²","A"
"What is 12.5% as a decimal?","0.125","1.25","12.5","0.0125","A"
"What is the mean of 15, 20, 25, 30, 35?","20","25","30","35","B"
"What is the value of (−4) × (−3) × (−2)?","-24","24","-6","6","A"
"What is 18/27 in simplest form?","1/2","2/3","3/4","6/9","B"
"What is the least 5-digit number?","10,000","10,001","99,999","9,999","A"
"What is the greatest 5-digit number?","10,000","99,999","100,000","9,999","B"
"What is the place value of 4 in 43,528?","4,000","400","40,000","40","C"
"What is the succeeding number of 19,999?","19,998","20,000","20,001","19,000","B"
"What is the sum of 45,237 and 31,210?","76,447","76,457","75,447","76,347","A"
"What is the sum of 38,765 and 25,978?","64,743","64,733","63,743","64,843","A"
"What is the smallest 5-digit number using 4, 8, 0, 2, 5 without repeating?","02,458","20,458","24,058","20,548","B"
"What is the greatest 5-digit number using 9, 4, 6, 1, 3 without repeating?","94,631","96,431","96,413","94,613","B"
"When 1 is added to 9,999, we get?","9,998","10,000","10,001","100,000","B"
"What is the expanded form of 53,025?","5×10,000+3×1,000+0×100+2×10+5×1","5×1,000+3×100+2×10+5×1","53,000+25","5×10,000+3×100+25","A"
"What is 8.4 - 3.7?","4.3","4.7","5.3","5.7","B"
"What is the HCF of 48, 64, and 80?","8","12","16","24","C"
"What is 3/4 ÷ 6?","1/8","2/8","3/24","18/4","A"
"What is the value of 15 + 8 × 2?","46","31","23","38","B"
"What is 0.375 as a fraction in simplest form?","3/4","3/8","5/8","1/3","B"
"What is the sum of 2.5, 3.8, and 1.7?","7","7.5","8","8.5","C"
"What is (-9) ÷ (-3)?","3","-3","27","-27","A"
"What is the area of a rhombus with diagonals 12 cm and 8 cm?","48 cm²","96 cm²","20 cm²","40 cm²","A"
"What is the value of ∛125?","3","4","5","6","C"
"What is 6.5 × 0.4?","2.4","2.6","3.2","3.6","B"
"What is the CPU in a computer called?","Brain of computer","Heart of computer","Eyes of computer","Hands of computer","A"
"What is the full form of RAM?","Random Access Memory","Read Access Memory","Run Access Memory","Right Access Memory","A"
"What is the full form of WWW?","World Wide Web","World Wide Work","Web Wide World","Wide World Web","A"
"What gas do plants release during photosynthesis?","Carbon dioxide","Oxygen","Nitrogen","Hydrogen","B"
"What is the largest planet in our solar system?","Earth","Mars","Jupiter","Saturn","C"
"What is the chemical formula of water?","H2O","CO2","O2","NaCl","A"
"What is the closest star to Earth?","Moon","Sun","Mars","Venus","B"
"How many continents are there on Earth?","5","6","7","8","C"
"What is the largest ocean on Earth?","Atlantic Ocean","Indian Ocean","Pacific Ocean","Arctic Ocean","C"
"What is the capital of India?","Mumbai","New Delhi","Kolkata","Chennai","B"
"In Roblox, what is the virtual currency called?","Coins","Gems","Robux","Diamonds","C"
"What programming language is used to create Roblox games?","Python","Java","Lua","C++","C"
"What does 'obby' mean in Roblox?","Obstacle course","Online baby","Object","Observation","A"
"What is the name of the game creation platform in Roblox?","Roblox Builder","Roblox Studio","Roblox Creator","Roblox Maker","B"
"What is the main function of the heart?","To breathe","To pump blood","To digest food","To think","B"
"What is the hardest natural substance on Earth?","Gold","Iron","Diamond","Steel","C"
"What is the boiling point of water in Celsius?","90°C","100°C","110°C","120°C","B"
"What type of animal is a dolphin?","Fish","Reptile","Mammal","Bird","C"
"What is the largest land animal?","Elephant","Giraffe","Hippopotamus","Rhinoceros","A"
"How many bones are there in the adult human body?","186","196","206","216","C"
"What is the study of weather called?","Geology","Meteorology","Biology","Astronomy","B"
"What is the speed of light approximately?","3 lakh km/s","30 lakh km/s","300 km/s","3000 km/s","A"
"What is the main component of natural gas?","Oxygen","Nitrogen","Methane","Hydrogen","C"
"What is the national bird of India?","Sparrow","Peacock","Pigeon","Parrot","B"
"What is the largest desert in the world?","Sahara","Thar","Gobi","Antarctic","D"
"What does 'http' stand for?","HyperText Transfer Protocol","High Text Transfer Protocol","HyperText Transport Protocol","High Tech Transfer Protocol","A"
"What is the chemical symbol for gold?","Go","Gd","Au","Ag","C"
"What planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn","B"
"What is the main source of energy for Earth?","Moon","Stars","Sun","Wind","C"
"What is the smallest unit of life?","Organ","Tissue","Cell","Atom","C"
"What is the national animal of India?","Lion","Tiger","Elephant","Leopard","B"
"What is the freezing point of water in Celsius?","0°C","10°C","-10°C","5°C","A"
"What is the name of the force that pulls objects towards Earth?","Magnetic force","Electric force","Gravity","Friction","C"
"What is the largest internal organ in the human body?","Heart","Liver","Kidney","Lung","B"
"What is the primary function of leaves?","Absorb water","Make food","Store food","Transport water","B"
"What is the unit of measuring electric current?","Volt","Watt","Ampere","Ohm","C"
"How many players are there in a cricket team?","9","10","11","12","C"
"What is recycling?","Throwing waste","Reusing materials","Burning waste","Burying waste","B"
"What is the most popular video game console made by Nintendo?","Xbox","PlayStation","Nintendo Switch","Sega","C"
"Why is it important to say 'please' and 'thank you'?","To be rude","To show respect and gratitude","To waste time","To confuse people","B"
"What should you do when someone is speaking?","Talk over them","Listen carefully","Walk away","Laugh at them","B"
"How should you treat your classmates?","With kindness and respect","Ignore them","Bully them","Make fun of them","A"
"Why should we not litter?","It's fun to litter","It keeps environment clean","Littering is cool","It makes no difference","B"
"What should you do if you make a mistake?","Hide it","Blame others","Admit it and learn from it","Pretend nothing happened","C"
"Why is it important to do homework regularly?","To waste time","To learn and practice","To please teachers only","It's not important","B"
"What should you do when you see someone being bullied?","Join the bully","Walk away","Help the victim and tell an adult","Laugh at them","C"
"Why should we eat vegetables and fruits?","They taste bad","They make us sick","They keep us healthy","They are expensive","C"
"What is the right thing to do when you borrow something?","Keep it forever","Return it on time","Forget about it","Break it","B"
"Why is it important to wash hands before eating?","To make hands wet","To remove germs","To waste water","It's not important","B"
"What should you do if you find money that's not yours?","Keep it","Try to find the owner","Throw it away","Hide it","B"
"Why should we help elderly people?","They don't need help","To show respect and kindness","To get money","It's a waste of time","B"
"What is the benefit of reading books?","Waste of time","Increases knowledge","Makes you sleepy","No benefit","B"
"Why should we not cheat in exams?","Cheating is fun","It's dishonest","Teachers won't know","Everyone does it","B"
"What should you say when you accidentally hurt someone?","Nothing","Sorry","It wasn't me","Go away","B"
"Why is sharing important?","It makes you poor","It spreads happiness","It's a waste","Only rich should share","B"
"How should you behave in a library?","Loudly","Quietly","Running around","Eating food","B"
